correo,empresa,sector,prioridad,estado,fecha_envio,notas
info@logoncolombia.co,LOG ON COLOMBIA SAS,Proveedores del Estado,3,,,
mailcoaia@coaia.com,AUTOMATIZACION E INGENIERIA ANDINA SAS,Proveedores del Estado,3,,,
inversionesjancor@gmail.com,IMPORTADORA JANCOR S.A.S.,Proveedores del Estado,3,,,
arucolombia2020@gmail.com,ARU COLOMBIA SAS,Proveedores del Estado,3,,,
syz@grupo-syz.com,SYZ COLOMBIA SAS,Proveedores del Estado,3,,,
proyectos.arcora@gmail.com,GRUPO ARCORA SAS,Proveedores del Estado,3,,,
construccionesmcgsas@gmail.com,CONSTRUCCIONES MCG S.A.S,Proveedores del Estado,3,,,
ventascbsas@gmail.com,CB TECHNOLOGY SAS,Proveedores del Estado,3,,,
angelica.restrepo@tecnovait.com,TECNOVA IT SOLUTIONS SAS,Proveedores del Estado,3,,,
tecnidiesel.3rsas@gmail.com,TECNIDIESEL QUALITY SERVICE 3R SAS,Proveedores del Estado,3,,,
contacto@cymcol.com,INGENIERIA DE CONSTRUCCION Y MINERIA DE COLOMBIA  S.A.S,Proveedores del Estado,3,,,
fabian.doncel@craneww.com,CWW COLOMBIA LTDA,Proveedores del Estado,3,,,
info.zonmuebles@gmail.com,ZON MUEBLES & DISEÑOS SAS,Proveedores del Estado,3,,,
jaimermaquinas@gmail.com,JAIMER MAQUINAS DE COSER LTDA,Proveedores del Estado,3,,,
info@terserpro.com,TERSERPRO SAS,Proveedores del Estado,3,,,
mardanis400@gmail.com,CENTRO CULTURAL BACATA,Proveedores del Estado,3,,,
mmconsultoressas@gmail.com,MONICA MARTINEZ & CONSULTORES SAS,Proveedores del Estado,3,,,
asodanuvio@gmail.com,ASOCIACION DE PADRES HOGARES DE BIENESTAREL PORVENIR DE LA NIÑEZ,Proveedores del Estado,3,,,
fundacionfundepleninh@gmail.com,"FUNDACION PAR EL DESARROLLO, PLENITUD E INTEGRIDAD HUMANA",Proveedores del Estado,3,,,
soporte@camglo.com,CAMGLO MANANGEMENT S.A.S,Proveedores del Estado,3,,,
licitacionsilver@gmail.com,ADMINISTRADORA SILVER LTDA,Proveedores del Estado,3,,,
comercial@sanilabips.com.co,SANILAB IPS S.A.S.,Proveedores del Estado,3,,,
jorgejimenez@vicval.co,V.I.C VALCARGO INTERNACIONAL S.A.S,Proveedores del Estado,3,,,
special_skinltda@hotmail.com,SPECIAL SKIN SAS,Proveedores del Estado,3,,,
elecktro_88@hotmail.com,DIEGO ARMANDO CASTRO SASTOQUE,Proveedores del Estado,3,,,
conacsas@hotmail.com,CONSTRUCTORES Y ACABADOS CASTILLO,Proveedores del Estado,3,,,
administrativo@refrielectro.com,REFRIELECTROMECANIC INDUSTRIAL SAS,Proveedores del Estado,3,,,
gm_lar@hotmail.com,GUADAÑAS & MOTORES AGROCONSTRUCCIONES SAS,Proveedores del Estado,3,,,
info@itc.com.co,ITC SOLUCIONES TECNOLoGICAS S.A.S,Proveedores del Estado,3,,,
julio.vega@hotelesdann.com,ADMINISTRADORA HOTELERA DANN SAS,Proveedores del Estado,3,,,
rodrigo.gamba@roldigital.co,ROL DIGITAL SAS,Proveedores del Estado,3,,,
sonia.medina@censat.org,ASOCIACION CENTRO NACIONALSALUD AMBIENTE Y TRABAJO AGUA VIVA,Proveedores del Estado,3,,,
consrg@hotmail.com,MIGUEL ANTONIO RODRIGUEZ GUERRERO MARG CONSTRUCCIONES E INGENIERIA,Proveedores del Estado,3,,,
comercialgrupoacera@gmail.com,GRUPO ACERA,Proveedores del Estado,3,,,
anxelsas@gmail.com,ANXEL SAS,Proveedores del Estado,3,,,
adriana.bejarano@protmark.com.co,PROTMARK S.A.S.,Proveedores del Estado,3,,,
inprogestsas@gmail.com,INPROGEST SAS,Proveedores del Estado,3,,,
artglasspublicidadr@gmail.com,ARTGLASSPUBLICIDAD R SAS,Proveedores del Estado,3,,,
simelgroup_sas@hotmail.com,SIMEL GROUP SAS,Proveedores del Estado,3,,,
licitaciones@cya-sa.com,CONTROLES Y AUTOMATIZACION SAS EN REORGANIZACIoN,Proveedores del Estado,3,,,
proyectos@mantenimientoymontajes.com,MANTENIMIENTO Y MONTEAJES DE INGENIERIA SAS,Proveedores del Estado,3,,,
administracion@bitsideas.com,BITSIDEAS SAS,Proveedores del Estado,3,,,
ricaurtezarate2022@gmail.com,ASOCIACIoN AGROINDUSTRIAL Y PESQUERA LA POPA,Proveedores del Estado,3,,,
contacto@thconsultorias.com.co,T&H CONSULTORIAS SAS,Proveedores del Estado,3,,,
pochocalvo@gmail.com,FUNDACION IDEAS PARA GOBERNAR,Proveedores del Estado,3,,,
gerencia@macroserviciosespecializados.co,MACROSERVICIOS ESPECIALIZADOS SAS ESP,Proveedores del Estado,3,,,
propuestas@ryu.com.co,CONSULTORES TECNICOS INGENIERiA,Proveedores del Estado,3,,,
admon.ingenieriades@gmail.com,NGENIERIA DE DISEÑO ESTRUCTURA Y SOLUCIONES SAS,Proveedores del Estado,3,,,
administrativa@multicaps.co,MULTICAPS LTDA,Proveedores del Estado,3,,,
eprocon2008@gmail.com,EPROCON S.A.S. ESTUDIOS PROYECTOS Y CONSTRUCCIONES,Proveedores del Estado,3,,,
contabilidad01@agsarquitectura.co,AGS ARQUITECTURA SAS,Proveedores del Estado,3,,,
comercial@retrex.com.co,RTREX SAS,Proveedores del Estado,3,,,
administrativo@trust4p.com,TRUST4P SAS,Proveedores del Estado,3,,,
andreavila@hilorama.co,HILORAMA SAS,Proveedores del Estado,3,,,
aluminiosmack@gmail.com,ALUMINIOS MACK SAS,Proveedores del Estado,3,,,
info@gemlabcdtec.com,CENTRO DE DESARROLLO TECNOLOGICO DE LA ESMERALDA COLOMBIANA CDTEC,Proveedores del Estado,3,,,
davidacevedo@finovatech.com.co,FINOVATECH SOLUTIONS SAS,Proveedores del Estado,3,,,
gerencia@audisalud.com,AUDISALUD COLOMBIA SAS,Proveedores del Estado,3,,,
gerencia.ametsas@gmail.com,AMET SOLUCIONES AMBIENTALES Y SGSST SAS,Proveedores del Estado,3,,,
estericlinicos@gmail.com,ARAVELL ESTERICLINICOS SAS,Proveedores del Estado,3,,,
gerencia@innovaviajes.com,INNOVA TRAVEL SAS,Proveedores del Estado,3,,,
rokaevents22@gmail.com,ROKA EVENTS SAS,Proveedores del Estado,3,,,
palacio.ecomercial@gmail.com,PALACIO AGENCIA CREATIVA SAS,Proveedores del Estado,3,,,
comunicaciones@ovatuscc.com,OVATUS CONSULTORiA Y CONSTRUCCIoN SAS,Proveedores del Estado,3,,,
comercial@transportesmontejo.com,TRANSPORTES MONTEJO SAS,Proveedores del Estado,3,,,
safestartcol@gmail.com,SAFESTART SAS,Proveedores del Estado,3,,,
mariavictoria.torres@mindshareworld.com,MINDSHARE DE COLOMBIA S.A.S.,Proveedores del Estado,3,,,
comercial@lyqauditores.com,L&Q REVISORES FISCALES AUDITORES EXTERNOS S.A.S,Proveedores del Estado,3,,,
corporacioncreciendoporcolombi@gmail.com,CORPORACIoN CRECIENDO POR COLOMBIA J&O,Proveedores del Estado,3,,,
derechos.empresa@gmail.com,DERECHOS &EMPRESA S.A.S,Proveedores del Estado,3,,,
rodrigo@myecobox.org,MY ECOBOX COLOMBIA SAS,Proveedores del Estado,3,,,
walterquinayas58@gmail.com,QUINAYASS CONSTRUCCIONES,Proveedores del Estado,3,,,
tecandinasas@gmail.com,TECANDINA SAS,Proveedores del Estado,3,,,
presidentecolpap@gmail.com,COLEGIO PROFESIONAL DE ADMINISTRADORES POLICIALES,Proveedores del Estado,3,,,
edith.morera@grupostt.com,STT GROUP SUCURSAL COLOMBIA SOCIEDAD ANONIMA,Proveedores del Estado,3,,,
cgo.construcciones.sas@gmail.com,CGO MEJIA CONSTRUCCIONES S.A.S.,Proveedores del Estado,3,,,
asodanzacund@gmail.com,ASOCIACION SINDICAL DE DANZAS DE CUNDINANARCA,Proveedores del Estado,3,,,
centroairesyservicios@hotmail.com,CENTRO AIRES Y COMERCIALIZADORA SAS,Proveedores del Estado,3,,,
oscar.gonzalez@inseprosas.com,INGENIERIA SEGURIDAD Y PROTECCION SAS,Proveedores del Estado,3,,,
pinzoncastanedaconsultores@gmail.com,PINZoN Y CASTAÑEDA CONSULTORES SAS,Proveedores del Estado,3,,,
hylserviciosymantenimientossas@gmail.com,HYL SERVICIOS Y MANTENIMIENTOS SAS,Proveedores del Estado,3,,,
disermatsas@hotmail.com,DISTRIBUIDORA DE SERVICIOS Y MATERIALES,Proveedores del Estado,3,,,
info@bcmconsultoressas.com,BUSINESS CONTINUITY MANAGEMENT CONSULTORES SAS,Proveedores del Estado,3,,,
servicioalcliente@ingetex.com.co,INGETEX COLOMBIS SAS,Proveedores del Estado,3,,,
innovafreshsys@gmail.com,GRUPO INNOVA FRESH S.A.S,Proveedores del Estado,3,,,
m.paint17@hotmail.com,MONSTER PAINT DESING SAS,Proveedores del Estado,3,,,
gerenciacomercial@sjprinter.com.co,SJ  PRINTER SAS,Proveedores del Estado,3,,,
elmejor.eventos@hotmail.com,EL MEJOR EVENTOS S.A.S,Proveedores del Estado,3,,,
gerencia@rymenergia.com.co,R Y M ENERGIA Y CONECTIVIDAD SAS,Proveedores del Estado,3,,,
asociacionluchemos@gmail.com,ASOCIACION DE HOGARES COMUNITARIOS DE BIENESTAR LUCHEMOS POR LOS NIÑOS,Proveedores del Estado,3,,,
diego.cruz@ppc-editorial.com,COMERCIALIZADORA PPC SAS,Proveedores del Estado,3,,,
contacto@colombiatec.co,COLOMBIATEC SAS,Proveedores del Estado,3,,,
esmeraldavelandia@vivoproduccionbtl.com,VIVO PRODUCCION BTL SAS,Proveedores del Estado,3,,,
acueductodetobia@outlook.com,ASOCIACION DE USUARIOS DEL ACUEDUCTO ALCANTARILLADO Y OTROS SERVICIOS DE TOBIA M,Proveedores del Estado,3,,,
comercializadoradeltorosas@gmail.com,COMERCIALIZADORA FERRETERA DEL TORO SAS,Proveedores del Estado,3,,,
bionextechnology4@gmail.com,BIONEX TECHNOLOGY SAS,Proveedores del Estado,3,,,
lena.suc.colombia@gmail.com,LENA ENGENHARIA E CONSTRUCOES SUCURSAL COLOMBIA,Proveedores del Estado,3,,,
fundacionbakarte@gmail.com,FUNDACIoN BAKARTE,Proveedores del Estado,3,,,
jsanchez@tevium.com.co,TEVIUM INGENIERIA SAS,Proveedores del Estado,3,,,
gerencia@tecnophone.co,TECNOPHONE COLOMBIA SAS,Proveedores del Estado,3,,,
arquitecturagym@outlook.com,G & M ARQUITECTURA Y DISEÑO SAS,Proveedores del Estado,3,,,
laura.24199811@gmail.com,EMPRESA DE SERVICIOS PUBLICOS DE PUERTO SALGAR,Proveedores del Estado,3,,,
comprasgoplus@gmail.com,GOPLUS SAS,Proveedores del Estado,3,,,
estaciondeserviciolafloresta@hotmail.com,EDS LA FLORESTA GDS SAS,Proveedores del Estado,3,,,
comercial2@ensamblegroup.co,ENSAMBLE GROUP SAS,Proveedores del Estado,3,,,
jmringenieriambientalsas@gmail.com,JMR INGENIERIA AMBIENTAL,Proveedores del Estado,3,,,
gmartinez@koncilia.com.co,KONCILIA SAS,Proveedores del Estado,3,,,
admin@agendalegislativa.com,INSIGHT CONSULTORiA SAS,Proveedores del Estado,3,,,
woowtravelsas@gmail.com,WOOW TRAVEL SAS,Proveedores del Estado,3,,,
gerencia@iandtsolution.com,I&T SOLUTIONS S.A.S.,Proveedores del Estado,3,,,
gplasociadoss.a.s@gmail.com,GPL ASOCIADOS SAS,Proveedores del Estado,3,,,
info@interamericana.com.co,INTERAMERICANA S.A.S,Proveedores del Estado,3,,,
caroaguilarmorelli@gmail.com,BEON SAS,Proveedores del Estado,3,,,
eurodentcol@hotmail.com,EURODENT LTDA,Proveedores del Estado,3,,,
indurordenosccsas@gmail.com,DURORDEÑOS CC SAS,Proveedores del Estado,3,,,
info.1@deviteck.com.co,D6D INTERNATIONAL GROUP SAS,Proveedores del Estado,3,,,
fundacion@fullpotential.com.co,FUNDACION FULL POTENTIAL,Proveedores del Estado,3,,,
operaciones.presea@emdepa.com,OPERACIONES PRESEA S.A. ESP,Proveedores del Estado,3,,,
suministroycimentacionessas@gmail.com,IMG AMBIENTA S.A.S.,Proveedores del Estado,3,,,
funserimpacto@gmail.com,FUNDACIoN SERVICIO CON IMPACTO,Proveedores del Estado,3,,,
santiago.amaya@nexusingenieria.co,NEXUS INGENIERIA.CO SAS,Proveedores del Estado,3,,,
kemistcolombia@gmail.com,KEMIST SAS,Proveedores del Estado,3,,,
dardila@fruitsfullco.com,FRUITSFULL COMPANY SAS,Proveedores del Estado,3,,,
dir.administrativa@ecsei.com,E&C SERVICIOS ESPECIALIZADOS EN INFRAESTRUCTURA SAS,Proveedores del Estado,3,,,
distriviveresjosemariasas@gmail.com,DISTRIVIVERES JOSE MARIA SAS,Proveedores del Estado,3,,,
jbuitragoabogados@gmail.com,BUITRAGO PERALTA & ASOCIADOS ABOGADOS S.A.S,Proveedores del Estado,3,,,
incco.construcol@gmail.com,INCCO CONSTRUCTORES Y CONSULTORES S.A.S.,Proveedores del Estado,3,,,
dlccsas@gmail.com,DATA LAND CONSULTING COLOMBIA SAS,Proveedores del Estado,3,,,
ceo@fumigaryservicios.co,FUMIGAR Y SERVICIOS S.A.S,Proveedores del Estado,3,,,
f.carvajal@labodigital.com.co,LABODIGITAL COLOMBIA SAS,Proveedores del Estado,3,,,
ayppublicidad@gmail.com,A&P PUBLICIDAD S.A.S.,Proveedores del Estado,3,,,
lasamu9708@gmail.com,LADY ALEJANDRA SASTOQUE MUÑOZ,Proveedores del Estado,3,,,
prosubachoque@gmail.com,CORPORACION PRODESARROLLO DEL VALLE DE SUBACHOQUE,Proveedores del Estado,3,,,
licitaciones@imocom.com.co,IMOCOM S.A.S,Proveedores del Estado,3,,,
gerencia@seguridadlaley.com,SEGURIDAD LA LEY LTDA,Proveedores del Estado,3,,,
fredy.aguiar@becomedigital.com.co,BECOME DIGITAL SAS,Proveedores del Estado,3,,,
eddy@lloronarecords.com,FUNDACION PARA EL DESARROLLO GESTIoN Y DIFUSIoN CULTURAL LLORONA,Proveedores del Estado,3,,,
elcinemalab@gmail.com,EL CINEMALAB STUDIOS SAS,Proveedores del Estado,3,,,
dasethom8@gmail.com,DOTACIONES DST SAS,Proveedores del Estado,3,,,
jctransporteslici@outlook.com,JC  TRANSPORTES SAS,Proveedores del Estado,3,,,
amparop@balletnacional.com.co,FUNDACION BALLET NACIONAL UN LEGADO DE SONIA OSORIO,Proveedores del Estado,3,,,
ideobrasas@gmail.com,IDEOBRA SAS,Proveedores del Estado,3,,,
merobel830@hotmail.com,"CONSTRUCTORA, CONSULTORA Y PROVEEDORA MEROBEL LTDA",Proveedores del Estado,3,,,
corpavagire@gmail.com,CORPAVAGIRE SAS,Proveedores del Estado,3,,,
mercedezcarrizosa@gmail.com,INVERSIONES ALL,Proveedores del Estado,3,,,
gerencia@sophiatech.com.co,SOPHIA TECH SAS,Proveedores del Estado,3,,,
proyectosnovoing@gmail.com,NOVO SOLUCIONES EN INGENIERIA SAS,Proveedores del Estado,3,,,
brymarsas@gmail.com,QUIMICOS E INSUMOS BRYMAR SAS,Proveedores del Estado,3,,,
jenniferpatriciaarteagaalvarez@gmail.com,SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E,Proveedores del Estado,3,,,
jssolucionesglobalessas@gmail.com,J&S SOLUCIONES GLOBALES SAS,Proveedores del Estado,3,,,
astonmedicalips@gmail.com,ASTON MEDICAL IPS SAS,Proveedores del Estado,3,,,
garafa77@hotmail.com,BESTELLUNG STUDIO SAS,Proveedores del Estado,3,,,
admin@parraparada.com,PARRA PARADA SAS,Proveedores del Estado,3,,,
mesasaludablesas@gmail.com,SERVICIOS Y SUMINISTRO DE ALIMENTOS,Proveedores del Estado,3,,,
hagconstruccionesltda@gmail.com,HAG CONSTRUCCIONES LTDA,Proveedores del Estado,3,,,
info@coschool.co,COSCHOOL S.A.S.,Proveedores del Estado,3,,,
worldcssas@gmail.com,WORLD CS SAS,Proveedores del Estado,3,,,
dientedeleon.info@gmail.com,DARIO FILMS SAS,Proveedores del Estado,3,,,
jumacata.sas@gmail.com,JUMACATA S.A.S,Proveedores del Estado,3,,,
direccion@inesdecolombia.org,INSTITUTO NACIONAL DE ESTUDIOS SOCIALES DE COLOMBIA,Proveedores del Estado,3,,,
administracion@quantum-ingarq.com,QUANTUM INGENIERIA Y ARQUITECTURA,Proveedores del Estado,3,,,
quantumgsas@gmail.com,QUANTUM GOLD SAS,Proveedores del Estado,3,,,
diegocarrillo74@gmail.com,INSTITUTO DE INVESTIGACIoN DE RECURSOS BIOLoGICOS ALEXANDER VON HUMBOLDT,Proveedores del Estado,3,,,
ongfis@hotmail.com,ONG FUNDACIoN INTERNACIONAL SEMILLAS,Proveedores del Estado,3,,,
samuelmartinezd@seamospartners.co,SEAMOS PARTNERS SAS,Proveedores del Estado,3,,,
generaccolombia752@gmail.com,GENERAC COLOMBIA SAS.,Proveedores del Estado,3,,,
hola@solucionesitingenieria.com,SOLUCIONES IT INGENIERIA SAS,Proveedores del Estado,3,,,
taiconstrucciones@yahoo.es,TAI CONSTRUCCIONES LTDA,Proveedores del Estado,3,,,
suministrossas2019@gmail.com,COMERSCO SAS,Proveedores del Estado,3,,,
ambienteviablesas2020@gmail.com,AMBIENTE VIABLE SAS,Proveedores del Estado,3,,,
elemental.suministros@gmail.com,ELEMENTAL SUMINISTROS SAS,Proveedores del Estado,3,,,
nicolas@1publicidad.com,UNO PUBLICIDAD SAS,Proveedores del Estado,3,,,
lhmcontabilidad@gmail.co,LHM INGENIERIA LTDA,Proveedores del Estado,3,,,
ongvuelveavivir@gmail.com,ASOCIACION VUELVE A VIVIR,Proveedores del Estado,3,,,
adriana.jimenez@latina.la,BURO LATINA SAS,Proveedores del Estado,3,,,
andreab@fullparts-services.com,FULL PARTS & SERVICES SAS,Proveedores del Estado,3,,,
leidy@libretapersonal.com,LIBRETA PERSONAL SAS,Proveedores del Estado,3,,,
upliftinstalacionessas@gmail.com,UPLIFT  INSTALACIONES S.A.S,Proveedores del Estado,3,,,
victor.sierra@caimed.com,CENTRO DE ATENCION E INVESTIGACION MEDICA SAS,Proveedores del Estado,3,,,
gestionhumana@corazonyvidaips.com,CORAZON & VIDA IPS SAS,Proveedores del Estado,3,,,
dana.barreto@paramopresenta.com,PROMOTORA COLOMBIA SAS,Proveedores del Estado,3,,,
serviciosrespuestosauto@gmail.com,REPARACIONES Y SERVICIOS AUTOMOTRIZ SAS,Proveedores del Estado,3,,,
atlas.servicio@gmail.com,ATLAS REPUESTOS Y SERVICIO S.A.S,Proveedores del Estado,3,,,
info@ccni.com.co,CORPORACION COLOMBIANA DE NOTARIOS INTERINOS,Proveedores del Estado,3,,,
fundationir@gmail.com,FUNDACION IYR IMPACTO AMBIENTAL Y RECURSOS NATURALES,Proveedores del Estado,3,,,
ancestralfundacion@gmail.com,FUNDACIoN ANCESTRAL,Proveedores del Estado,3,,,
ingconer@gmail.com,INGCONER SAS,Proveedores del Estado,3,,,
sloaiza11.lmc@gmail.com,HOTEL MADAC CALIMENIO,Proveedores del Estado,3,,,
admin@teldip.com,TELDIP SAS,Proveedores del Estado,3,,,
procontecpropuestas@gmail.com,PROCONTEC PLUS SAS,Proveedores del Estado,3,,,
iaconstructores2009@hotmail.com,IA CONSTRUCTORES SAS,Proveedores del Estado,3,,,
comercial3@intercaster.com.co,INTERCASTER SAS,Proveedores del Estado,3,,,
ginal16@hotmail.com,GI DATA SERVICES COLOMBIA S.A.S.,Proveedores del Estado,3,,,
info@gvalor.co,GRUPO VALOR INTERNATIONAL SOLUTIONS SAS,Proveedores del Estado,3,,,
cdpcol@cdpups.com,CHICAGO DIGITAL POWER ENERGY DE COLOMBIA SAS,Proveedores del Estado,3,,,
dotacomercialaddition@gmail.com,DOTA COMERCIAL ADDITION S.A.S,Proveedores del Estado,3,,,
comercial@itm.net.co,IT MANAGEMENT SAS,Proveedores del Estado,3,,,
gerencia@comeek.co,COMEEK SAS,Proveedores del Estado,3,,,
contact@jevent.co,Jevent Technology S.A.S.,Empresa/Oficina,3,,,
ejemplo@mail.com,Challenger,Empresa/Oficina,3,,,
servicioalcliente@monomeros.com.co,Monómeros S.A.,Empresa/Oficina,3,,,
orlicitaciones@gmail.com,San Isidro,Fruver,3,,,
info@rsa.rohde-schwarz.com,Rohde & Schwarz Colombia S.A.,Empresa/Oficina,3,,,
ferrinco@ferrinco.com,Ferreteria Rincon Y Cia SA,hardware,3,,,
david@nesd.com.co,NESD,tailor,3,,,
alertvet@hotmail.com,Veterinaria Alert-Vet,veterinary,3,,,
edwinvasquez.kontrol@gmail.com,Bike Kontrol,bicycle,3,,,
crc.teusaquillo@gmail.com,CRC,doctor,3,,,
vivifactory@hotmail.com,Costurero Factory,tailor,3,,,
jose_1248c@hotmail.com,Musica y café Don toño,cafe,3,,,
autosnormandia@yahoo.com,Autos Normandia,car,3,,,
info@moto-special.com,Moto Special,,3,,,
contacto@redatel.net,Redatel,company,3,,,
apbropadeciclismo@hotmail.com,Apb ropa de ciclismo,sports,3,,,
mao.clothing.bogota@gmail.com,maoclothing,clothes,3,,,
hola@elpotro.com.co,Talabartería El Potro,leather,3,,,
isiomatallana@yahoo.com,Mauricio Matallana,doctor,3,,,
iedpabloneruda01@yahoo.com,Sede I.E.D. Pablo Neruda,school,3,,,
comercialacento@gmail.com,Acento Suministros Sas,furniture,3,,,
colegiorealdecolombia2010@hotmail.com,Real De Colombia,school,3,,,
ventas@pompon.co,Floristeria Pompon,florist,3,,,
colsanbenito1@gmail.com,Escuela Rural Santa Rosa,kindergarten,3,,,
comercial@calltechsa.com,Calltech S.A.,company,3,,,
gimnasiolosangelesibate@hotmail.com,Gimnasio Los Angeles,school,3,,,
psicopedagogico2008@yahoo.es,Liceo psicopedagogico Sibaté,school,3,,,
info@colegioasuncionsibate.com,Colegio Parroquial La Asunción,school,3,,,
iedgeneralsantander@yahoo.es,Sede escuela rural La Unión,school,3,,,
samperuribe-colegio@hotmail.com,Liceo Samper Uribe,school,3,,,
colegreiff@gmail.com,Colegio Leon de Greiff,school,3,,,
internadopreventorioinfantil@gmail.com,Fundación de prevención infantil  (Preventorio),school,3,,,
habilitacionyrehabilitacion@gmail.com,Catalina Garzón Leal,speech therapist,3,,,
cecomplazanorte@gmail.com,Administración Plaza Norte,property management,3,,,
sgutierrez@samsaracolombia.com,SAMSARA,clothes,3,,,
support@woohands.com,SiTVende,it,3,,,
lamalditavanidadteatro@gmail.com,El Café de la Maldita Vanidad,cafe,3,,,
soporte@inoutdelivery.com,Tiendas Altoque,convenience,3,,,
gerencia.cedritosfitforall@gmail.com,Fitforall,fitness centre,3,,,
contacto@lighthousekinder.com,Light house,kindergarten,3,,,
disamana@outlook.com,Disam S.A.S,hardware,3,,,
jairo.ramirez@metalcenter.com.co,Metal Center S.A,blacksmith,3,,,
info@hotelvilar.com,Apartahotel Vilar América,,3,,,
reservas@lancasterhouse.com.co,Lancaster House,,3,,,
datospersonales@bancofalabella.com.co,Banco Falabella,bank,3,,,
prediosurbanosinmobiliaria@gmail.com,Predios Urbanos Inmobiliaria,estate agent,3,,,
leocaice@hotmail.com,"Casa mia, Bogota",,3,,,
reservashotelcasadelvalle@gmail.com,Hotel Casa del Valle,,3,,,
buzon@purplebeauty.com.co,Purple Beauty,beauty,3,,,
info@cristinaangel.com,María Cristina Angel Fisioterapia,doctors,3,,,
atencionaclientes@vanper.co,Vanper Sas,doctors,3,,,
papeleriaelingeniero@gmail.com,Papelería el Ingeniero,stationery,3,,,
daphneebetbeze@gmail.com,Casa de Daphnée y Sanlly,,3,,,
urbanahostel@gmail.com,Urbana hostel,,3,,,
elcastillo2109@gmail.com,El Castillo - Papelería y Miscelánea,variety store,3,,,
goldreams2017@hotmail.com,Goldreams The Blair Team MME,dojo,3,,,
bumaudiobar@gmail.com,Mr Bum,bar,3,,,
gedriytp@hotmail.com,Globos Encantados,gift,3,,,
jhonny_jame@hotmail.com,Salsipuedes Bochica,fast food,3,,,
info@ucbogota.org,United Church,place of worship,3,,,
reservas@movichhotels.com,Movich Buró 26,,3,,,
info@clickclackhotel.com,The Click Clack Hotel Bogotá,,3,,,
recepcion@hotelbsrosales.com,Hotel bs Rosales,,3,,,
ventaskm@kmsystemspc.com,KM Systems,,3,,,
reservas@hotelexebacata95.com,Exe Bacatá 95,,3,,,
gerencia@nakey.com.co,Nakey,sports,3,,,
andres@negociapp.com,Negociapp,,3,,,
plazuelas-de-santa-ana@googlegroups.com,Plazuelas de Santa Ana,,3,,,
huertamhuyso@gmail.com,Aula Ambiental Agroecologica Mhuyso de OAET,,3,,,
info@hostal-laquinta.com,Hostal Colonial La Quinta,,3,,,
reservas@hotelesestelar.com,Estelar Suites Jones Hotel Bogotá,,3,,,
info@crankycroc.com,The Cranky Croc Hostel,,3,,,
abadiacolonial@gmail.com,Abadia Colonial,,3,,,
plotteark@gmail.com,Papirópolis,copyshop,3,,,
info@monserrate.co,Cerro de Monserrate,,3,,,
odontoven1@gmail.com,Centro de Rehabilitación Oral Odontoven,dentist,3,,,
info@museodelaesmeralda.com.co,Museo Internacional de la Esmeralda,,3,,,
galeria@casatinta.com,CasaTinta,,3,,,
hostalbakano@gmail.com,Hostal Bakano,,3,,,
info@botanicohostel.com,Botanico hostel,,3,,,
2600hosteldc@gmail.com,2600 Hostel DC,,3,,,
bogota@viajerohostels.com,Viajero Hostel & Spa,,3,,,
olemicasa.hostal@gmail.com,Ole Mi Casa Hostal,,3,,,
rlatchu@gmail.com,Casamigos Co-Habitation Hostel,,3,,,
nick6pineda@gmail.com,Cigarreria y licorera La hormiguita D.C.,alcohol,3,,,
covisaong@yahoo.es,COVISA,,3,,,
gerencia@ecoboutiquehotel.co,Eco Boutique,,3,,,
cghcandelaria@gmail.com,CGH Candelaria Boutique,,3,,,
anandamayihostelandhotel@yahoo.com,Anandamayi Hostel,,3,,,
infos@granada-hostels.com,Granada Hostel,,3,,,
hostelbandido@gmail.com,Bandido,,3,,,
aluciaparra@hotmail.com,Huerta Ana Lucia Parra,,3,,,
galeriaespacioblanco@gmail.com,Galeria Espacio Blanco,,3,,,
soporte@inssat.com,Inssat Sas,,3,,,
victor.cuellar@grupolinux.net,Grupo Linux,,3,,,
tecsac.co@gmail.com,Colgps,,3,,,
tripmonkeybogota@gmail.com,Trip Monkey,,3,,,
reservas@hotelgrandpark.com.co,Hotel Grand Park,,3,,,
hospedajecasarojas@gmail.com,Hospedaje Casa Rojas,,3,,,
bogotareal1@gmail.com,Hotel Bogotá Real,,3,,,
benditohostels@gmail.com,Bendito Hostel,,3,,,
escuelabartenderbogota@gmail.com,Escuela Flair Bartender,community centre,3,,,
enno@enno.com.co,EnnO Estudios,studio,3,,,
lacorriente@riseup.net,La Corriente,community centre,3,,,
arriendoscentrocandelaria@gmail.com,Hostal Buenavista,,3,,,
info@creadoresdeideas.com,Servicios de Diseño e Impresion publicidad,,3,,,
hotel@sanmomritz.com.co,Hotel Museo San Moritz,,3,,,
eurofilbogota@gmail.com,filtros Eurofil,,3,,,
colombianafiltrosindustriales@gmail.com,Colombiana de Aceites y Filtros Industriales CAFI SAS,,3,,,
info@advector.co,"Advector, Unmanned Systems",it,3,,,
vitroenmovimientocol@vitro.com,Vitro SAS Colombia,,3,,,
incoasfaltos@incoasfaltos.com,IncoAsfaltos SAS,company,3,,,
reservas@hotelgranboutiquesabana.com,Hotel Gran Boutique Sabana,,3,,,
inmobiliaria@oikos.com.co,Centro Empresarial Oikos,,3,,,
compuambientes@gmail.com,CompuAmbiente SAS,waste transfer station,3,,,
ruralriofrio01@gmail.com,Sede ALTO DEL AGUILA,college,3,,,
